Phone timestamp;RR-interval [ms]
2022-05-09T16:05:41.802;511
2022-05-09T16:05:42.313;3462
2022-05-09T16:05:41.480;9022
2022-05-09T16:05:41.912;1890
2022-05-09T16:05:43.802;9097
2022-05-09T16:05:44.309;562
2022-05-09T16:05:44.871;574
2022-05-09T16:05:45.445;602
2022-05-09T16:05:46.047;640
2022-05-09T16:05:46.687;666
2022-05-09T16:05:47.353;680
2022-05-09T16:05:48.033;553
2022-05-09T16:05:48.586;256
2022-05-09T16:05:48.842;623
2022-05-09T16:05:49.465;348
2022-05-09T16:05:49.813;267
2022-05-09T16:05:50.080;351
2022-05-09T16:05:50.431;602
2022-05-09T16:05:51.033;359
2022-05-09T16:05:51.392;351
2022-05-09T16:05:51.743;329
2022-05-09T16:05:52.072;6363
2022-05-09T16:05:54.140;705
2022-05-09T16:05:54.845;728
2022-05-09T16:05:55.573;738
2022-05-09T16:05:56.311;735
2022-05-09T16:05:57.046;709
2022-05-09T16:05:57.755;738
2022-05-09T16:05:58.493;746
2022-05-09T16:05:59.239;769
2022-05-09T16:06:00.008;742
2022-05-09T16:06:00.750;757
2022-05-09T16:06:01.507;774
2022-05-09T16:06:02.281;788
2022-05-09T16:06:03.069;754
2022-05-09T16:06:03.823;767
2022-05-09T16:06:04.590;786
2022-05-09T16:06:05.376;748
2022-05-09T16:06:06.124;751
2022-05-09T16:06:06.875;762
2022-05-09T16:06:07.637;781
2022-05-09T16:06:08.418;753
2022-05-09T16:06:09.171;771
2022-05-09T16:06:09.942;775
2022-05-09T16:06:10.717;777
2022-05-09T16:06:11.494;741
2022-05-09T16:06:12.235;761
2022-05-09T16:06:12.996;780
2022-05-09T16:06:13.776;773
2022-05-09T16:06:14.549;743
2022-05-09T16:06:15.292;757
2022-05-09T16:06:16.049;768
2022-05-09T16:06:16.817;754
2022-05-09T16:06:17.571;740
2022-05-09T16:06:18.311;754
2022-05-09T16:06:19.065;766
2022-05-09T16:06:19.831;792
2022-05-09T16:06:20.623;779
2022-05-09T16:06:21.402;792
2022-05-09T16:06:22.194;804
2022-05-09T16:06:22.998;765
2022-05-09T16:06:23.763;777
2022-05-09T16:06:24.540;788
